fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_preds,hav_preds,euc_exp_smooth_preds,hav_exp_smooth_preds,k_Nearest_One_pred,k5_Nearest_Mean_pred,k5_Weighted_pred,kRad_Mean_pred
01049,2004,136.0,99.17011866235134,100.0,80.87173913043479,150.16362484157176,149.61208742334253,149.16973639546478,147.68029935118966,146.86072995095617,137.0,147.0,146.06622214328345,146.375
01077,1986,70.0,68.53300059417597,84.9,84.20217391304347,109.79319899244337,104.05323823006601,103.14468767821958,87.20820293292068,85.66742648306844,68.0,66.92,67.64869908998072,70.06
01079,1977,33.0,46.72631578947403,53.0,86.93478260869566,84.89184713375799,80.18614159059571,79.34868706939609,62.46926786680497,61.10868456594027,38.0,40.2,39.555663959666155,40.78
01083,2012,71.9,138.75746019992494,128.3,90.00869565217393,117.29074778200246,105.85038922276122,106.29949914283273,90.76318526519891,91.92272852327251,110.6,84.23999999999998,86.10654359228425,76.30909090909091
01089,2006,90.0,123.74227848101327,143.0,92.11521739130436,140.72725000000003,135.65575695183477,134.70994591536478,113.06829933762474,110.38671754295913,85.0,75.8,77.23490915547735,90.36363636363636
05021,1997,133.4,135.5113162878797,141.7,124.01739130434781,117.3501891551072,117.03112613176063,116.40251896600016,113.93483216066554,113.39113362372187,107.7,119.41999999999999,116.5990770512061,114.26
05031,2007,184.0,157.55007256894078,145.0,112.52826086956522,137.8628318584071,140.9273299186769,139.7215097535292,149.2291871368728,146.15536478273953,172.0,141.8,150.8747597777711,130.55555555555554
05055,1979,73.0,69.12924528301846,70.0,109.49782608695654,102.22770186335399,100.9398904200702,100.6501537012386,84.44207788893735,85.13225199329047,70.0,68.0,67.82172252724745,79.61818181818181
05067,1977,66.0,67.47719298245647,76.0,113.59130434782607,84.89184713375799,83.8506826071071,83.4886669299096,78.28311642634067,77.41311876499203,58.0,65.76,64.24949824524168,65.76
06067,1999,167.1,157.02560512577156,155.4,148.9217391304348,120.44974811083121,126.65149566786053,126.76213200956721,166.39712921775083,165.67619869379558,180.0,147.04000000000002,174.59538633831147,180.0
06095,2001,189.3,172.08371428571445,173.8,156.7804347826087,131.6332493702771,133.2048500144364,133.22377068306093,144.5775245722479,144.38138746775434,148.3,153.04,149.12867447228746,148.3
08123,1986,147.0,131.1699702911469,140.5,143.11521739130436,109.79319899244337,115.26574531490458,115.51871317667047,122.15677785013254,121.93919963635712,148.8,140.54000000000002,140.2942075966154,148.8
08125,1975,93.0,118.92154791154826,101.2,156.60652173913041,79.47157232704407,79.88865931735643,80.43418227569244,84.90634990221207,85.16507672112326,74.8,95.84,93.60395059623606,90.47142857142856
10001,1994,132.6,113.70859033439638,80.4,111.8478260869565,129.3335868187579,122.51110169872794,123.49231743299072,121.48748799451081,122.20252336432105,122.0,127.12,127.04722810418725,123.09473684210528
10003,2012,132.0,137.08180920646691,120.9,108.89999999999999,117.29074778200246,117.79422416087573,117.77643957682415,127.41852103489904,127.34402486981,138.6,125.97999999999999,128.53294468329744,129.04583333333332
