fips_code,years,y_true,lr_pred,ffill_pred,county_mean_pred,exp0.25_pred,exp0.5_pred,exp1_pred,exp2_pred,exp4_pred,exp8_pred,exp16_pred,k1_pred,k2_mean_pred,k2_weighted_pred,k3_mean_pred,k3_weighted_pred,k4_mean_pred,k4_weighted_pred,k5_mean_pred,k5_weighted_pred,k10_mean_pred,k10_weighted_pred,k5_exp2weighted_pred,k10_exp2weighted_pred,FULL_LR_pred,FULL_HAV_LR_pred,FULL_HAV_LR_EXP2_pred,years1,y_true1,lr_pred1,ffill_pred1,county_mean_pred1,exp0.25_pred1,exp0.5_pred1,exp1_pred1,exp2_pred1,exp4_pred1,exp8_pred1,exp16_pred1,k1_pred1,k2_mean_pred1,k2_weighted_pred1,k3_mean_pred1,k3_weighted_pred1,k4_mean_pred1,k4_weighted_pred1,k5_mean_pred1,k5_weighted_pred1,k10_mean_pred1,k10_weighted_pred1,k5_exp2weighted_pred1,k10_exp2weighted_pred1,FULL_LR_pred1,FULL_HAV_LR_pred1,FULL_HAV_LR_EXP2_pred1,years2,y_true2,lr_pred2,ffill_pred2,county_mean_pred2,exp0.25_pred2,exp0.5_pred2,exp1_pred2,exp2_pred2,exp4_pred2,exp8_pred2,exp16_pred2,k1_pred2,k2_mean_pred2,k2_weighted_pred2,k3_mean_pred2,k3_weighted_pred2,k4_mean_pred2,k4_weighted_pred2,k5_mean_pred2,k5_weighted_pred2,k10_mean_pred2,k10_weighted_pred2,k5_exp2weighted_pred2,k10_exp2weighted_pred2,FULL_LR_pred2,FULL_HAV_LR_pred2,FULL_HAV_LR_EXP2_pred2
17203,2015,201.0,192.16117794486217,217.5,161.0743073047859,162.60892412488735,164.09093649488995,167.52832690276472,177.64116551539936,192.28088113095538,196.92191176024983,198.28672538989198,198.4,190.45,191.68593788666212,193.36666666666665,193.7440918790399,191.49999999999997,192.08884932029366,190.37999999999997,191.17326908896266,187.23,189.20254021151456,192.0893752918115,190.97582202198168,194.27664267107758,196.32569028409043,205.45399782639342,2016,232.8,191.68376811594226,201.0,166.8123749999998,169.5462110021018,172.60789943196892,180.076547862513,199.26380268090278,217.34966108931076,217.08801318017726,215.73623066849422,215.6,225.8,224.21426837182975,223.23333333333335,222.53952764302838,221.07500000000002,220.86414644483017,219.8,219.952220764331,215.21999999999997,216.8430835818082,219.8803268890069,218.03251803439957,225.93996157294598,231.92436517245216,230.6460778410036,1973,111.0,98.3393353174597,124.0,85.09245283018872,86.6137302268825,88.43418974790455,92.7547851700005,102.63122830577258,110.60723585083987,111.27461783886503,111.03345570418216,111.0,113.5,113.11134028721317,115.0,114.45037826074663,111.75,111.82312754932337,109.8,110.36989110284668,110.2,110.36022071588509,110.8184036414233,110.62858196485655,111.79520432483068,112.33087496386645,112.05132335843484
18001,1993,114.0,122.94999999999982,146.3,92.08596713021495,95.02703842428768,98.27983112489639,105.5305606053079,115.97363860953399,117.03131356090823,115.36905927866982,113.69235921668978,111.5,116.25,116.0613205653942,116.16666666666667,116.04330945685166,120.225,119.44814021773735,115.12,115.63555584371004,118.38000000000002,117.8470739040213,115.94560730515644,117.36439535548142,109.29814929880176,107.99756047657058,107.8959002329987,2015,103.5,159.1659649122812,183.3,161.52121982210926,160.80536594038423,159.86904235099442,156.27582679864506,142.5146124770364,119.51689996839318,109.84870993675996,106.27637168042097,102.8,109.9,109.6179738977471,113.5,112.87299240117699,114.5,113.83615654258847,116.24000000000001,115.27870709113347,123.84,121.34094279093985,114.30914142783067,118.73303750735603,147.29655685417703,132.5074186870142,115.50206310117748,1993,114.0,122.94999999999982,146.3,92.27069182389944,95.02703842428768,98.27983112489639,105.5305606053079,115.97363860953399,117.03131356090823,115.36905927866982,113.69235921668978,111.5,116.25,116.0613205653942,116.16666666666667,116.04330945685166,120.225,119.44814021773735,115.12,115.63555584371004,118.38000000000002,117.8470739040213,115.94560730515644,117.36439535548142,109.29814929880176,107.99756047657058,107.8959002329987
18003,1991,103.8,122.63893617021267,130.6,101.45261813537682,101.09340011478464,100.6609838729944,99.97654227409282,100.10164114166295,101.46169687947058,100.12979739727398,98.28837399064975,96.8,95.35,95.40230115383046,100.06666666666666,99.91550338138249,100.75,100.56419008169469,102.9,102.46809684563446,102.71,102.61387867641596,102.04867432880991,102.3835636966274,103.8687890072574,103.98831784394491,103.18491445658722,1999,124.2,135.69793545325138,142.1,120.39531051964505,121.17506451472926,121.96556913292413,123.73469779423746,124.66085864998712,116.30947145939258,107.54874788429053,100.5204971516446,90.4,101.30000000000001,100.90683960223988,109.23333333333335,108.65197776912319,109.67500000000001,109.18001818469392,114.82000000000001,113.74487447805157,121.36000000000001,119.30874491256263,112.67337332784712,117.179493288352,136.39821761972956,131.82756794126445,123.40292957677778,1978,97.4,100.9880203908242,99.3,94.55753768844208,95.29292985546363,96.18792739491107,97.80767008288214,98.52081311774394,95.01516298518948,92.64190356976917,90.23085247680537,84.8,95.8,95.40323262611363,94.13333333333333,93.92956518798694,91.8,91.8764417837658,95.52000000000001,95.10136321561028,94.4,94.3654422953603,94.69853029696363,94.25203988555569,102.87107960467232,99.5812510452217,97.14078859109436
18005,1975,80.0,95.60113022113,83.7,79.50491183879097,81.06710286452109,82.59413901870424,85.35566965789639,87.03017213028812,85.16783597753948,84.99597149041072,84.44631301367998,84.0,77.5,77.74248555738896,80.66666666666667,80.72177196060876,85.25,85.15461988607996,85.8,85.70553798608832,84.1,84.4532234657194,85.61115830915891,84.73774545155572,93.99125150919005,89.74884514341294,89.1034535222338,1973,97.7,91.03224206349205,93.0,84.90566750629725,85.80168903798914,86.7185847353272,88.98621258946073,93.60699938682393,95.26222343797139,93.56306820788195,89.8489660820432,79.7,87.7,87.40155623705974,92.7,92.32495611678983,96.67500000000001,96.27199049885148,96.48,96.16124258249806,96.67000000000002,96.3937173116297,95.82634334087996,96.06266449153813,93.22240283452236,93.0423451524735,90.27559575881435,1991,96.8,120.82434988179648,129.6,101.79607097591895,100.7350672585937,99.83142410708172,97.87705524699975,95.33194664730969,96.1836821755679,96.03994368337464,94.81392524607128,93.9,81.55000000000001,82.01072255903902,90.93333333333334,90.9217848432226,94.875,94.7483279947046,97.44,97.25601071104248,98.63,98.2241817418025,97.07232518752296,97.81529209786328,97.65976960315695,94.69182359945098,95.93364010876074
18007,1982,146.5,116.60990051540239,125.0,106.67474999999999,108.46480488392906,110.65022805632391,115.9934680290471,127.97831258243741,136.38305782995332,135.86027256309816,134.8108093164305,134.7,141.14999999999998,140.16340313837821,140.29999999999998,139.70846263545639,139.975,139.56320261540083,138.92,138.7795921600197,135.15,135.92446936341287,138.5119460620815,136.51894721638115,130.77719679202616,135.65115907460557,138.2085221554288,1994,162.5,138.6349048800662,131.5,129.06105527638192,131.10348102881863,133.27611000216015,138.36398718765838,149.28025451045576,157.689011825614,161.0555393010396,162.56181000382372,162.7,154.45,155.71192621835345,155.86666666666665,156.5814369386658,157.39999999999998,157.6924349498095,156.07999999999998,156.5818531960078,154.77,155.4963731759233,157.1992897048521,156.32040011864362,158.16156205259955,158.78515841866385,158.3329251686463,2011,165.5,169.83181818181765,165.9,138.01466165413532,140.00939587055845,141.8314853759422,145.58259058547227,153.0474389904505,160.0047246489451,160.62833218156464,159.97871742001982,159.9,163.10000000000002,162.6105255880326,164.9,164.3243256854951,162.45000000000002,162.4330110740889,161.54000000000002,161.70260455950827,159.78,160.13197639430982,161.7620761769864,160.50632182353561,153.36288749733018,156.64324969937368,158.46755478742156
18009,1987,132.2,112.754556241101,119.8,110.85150375939855,111.88775508363692,113.48697303299596,117.78362283286054,128.01992924680223,138.19210592559963,140.87756134413664,141.19094298075933,141.2,137.2,138.08879120027646,135.86666666666665,136.73180727588968,139.45,139.48405340786366,138.16,138.559987645713,136.06,136.94338147929443,139.00240152884612,137.8780018310405,130.28419789198878,133.88470662331122,135.99938244630852,1986,119.8,111.38133095662488,127.8,109.79509433962266,111.01678203292045,112.48249986534663,116.03406762890681,122.49297381792954,124.44426597611806,122.97145991423533,122.80085577852424,122.8,118.3,119.29989010031103,122.8,122.7695511048528,125.55,125.02364049364353,127.85999999999999,126.74468590294143,126.98999999999998,126.55555128105519,125.69385660036754,125.86705525689352,122.3325108583186,119.51496639379009,116.3424486163958,1988,78.1,115.80146936840856,132.2,78.5868421052632,78.02159528653674,77.74635468097799,78.11947303498276,80.82828230562862,81.44550185947921,80.17238772882354,80.09918051996843,80.1,76.6,77.37769230024192,79.43333333333332,79.52117664605474,81.35,81.06992098674635,81.44,81.17396717165195,83.64,83.09203646431597,80.90049882094972,82.38229742617618,70.73971497411121,76.12096276876625,80.15818518950148
18011,1974,58.8,107.5278785634955,113.6,69.09472361809051,69.92511199740775,70.68746945361518,72.0423060790426,71.64916948035203,64.55755143510365,60.63973030777831,59.265195915829864,58.8,59.8,59.739876170639704,62.76666666666667,62.37286189321814,62.5,62.22207532309484,65.34,64.40051299800805,72.52000000000001,69.78355435270365,63.56544946427523,67.16599864067244,80.52786940968807,68.8961023105276,57.47449221935974,1991,86.0,132.09210401891278,136.6,101.5770202020203,101.04428942596563,100.41525938128481,98.7650820991216,94.52681426872071,89.8781741643048,88.44815717339274,88.01081225582044,87.0,91.9,91.60539323613456,88.93333333333334,89.07664720991663,85.975,86.39271225600984,90.11999999999999,89.44827178432948,95.56,93.62114040943874,88.97937720686363,91.79737643593232,104.27853089016699,90.21707151462404,87.99932028071136,1990,136.6,129.36191602602048,139.0,109.32367758186392,110.8051544460677,112.63295289946991,117.37322673059475,129.19066746848205,139.3460617967054,141.49981050569576,142.81397127011795,143.6,141.1,141.25030957340073,139.26666666666665,139.58993247167325,139.85,140.04038328686653,139.0,139.37225588193567,137.39999999999998,138.18905098179704,139.73404295464854,138.95147117779288,144.08234228273417,146.28001791654202,145.4271272218729
18015,1973,114.6,102.4823908730159,113.0,85.15352644836275,86.20989866824127,87.66443515914132,91.53806255746076,102.06625594414962,111.79808632129779,112.9604937606634,112.13250039497578,111.6,112.6,112.52362526276914,114.59999999999998,114.41741506095447,110.37499999999999,111.55034945515692,108.63999999999999,110.20107511495844,110.33,110.77157109893356,111.4146588112026,111.41839967908666,110.53290255929991,111.56065479209828,112.15501563836996,1977,103.4,111.41471734892775,119.3,84.81083437110837,86.64272004528479,88.7139311384981,93.23400036926897,100.4796675996101,103.08104737968827,102.80401531686313,101.90843041520544,101.3,105.35,105.04068231421508,104.0,103.87484473650485,101.55,102.2155921257199,102.92,103.0627156609889,103.85,103.61356285973041,103.16719952525658,103.45217458397832,109.66410041224371,106.84105283168152,106.98269505126564,1998,146.3,151.59262945846694,144.7,121.70454545454542,123.35606635591132,125.28713020519305,129.7717673210734,139.24519296496055,146.89382580469547,149.08893391067218,150.34034063631648,151.1,146.05,146.43569242301575,147.73333333333335,147.8893911310248,148.625,148.47431645275745,147.45999999999998,147.6970638666714,143.05,144.30020213077327,147.92715128075227,145.56108630202016,146.42843461807846,150.09154960797503,153.6123173477396
18017,1993,139.9,133.33913043478242,148.9,92.08596713021495,95.22296923935289,98.8242782881871,107.52348525545803,124.5463503056523,134.5251161606701,137.7068231634245,138.75752414550615,137.8,140.15,140.07452504450148,133.1,134.0227180061284,129.575,131.34556061202696,129.76,131.21954813562417,128.82,130.44005456799744,132.65931049457458,132.10269697286668,118.93847236267179,126.36054630498005,130.14826590671652,1990,130.6,128.27018332347734,142.1,109.53041301627027,110.98882373597505,112.97326281852145,117.87590685692926,128.68046688384132,136.04749953975286,137.59243568714157,137.11005765951296,133.6,140.6,140.37518098362145,135.23333333333332,135.81642903978138,133.575,134.5304090029959,133.57999999999998,134.3917517135393,133.26999999999998,134.07921681114382,135.18550633430687,134.93789832410815,141.37890871753902,142.88650103690196,142.4334800907881,2009,164.0,160.8184210526315,183.0,156.31356147021543,157.694366106834,159.2275876118746,162.31878942401076,166.60749762757618,167.33512170119474,167.43968030148338,166.8016377023066,164.0,169.5,169.32335648713115,166.33333333333334,166.64604089919087,161.75,163.32318106493028,165.6,165.95752767148704,164.8,165.76213100907626,166.327050995303,166.44576424108666,176.70317243479988,172.03543090695203,169.24523617127556
18019,1976,92.3,85.00456269113147,81.0,81.90649188514354,83.94512273729981,86.43294355690604,91.98571432673091,100.3688591229567,101.52558021288522,101.46513329162093,101.70127317010608,103.3,101.15,101.18515504859228,102.53333333333335,102.1806089157277,99.72500000000001,100.43749290148988,99.98,100.50969853056463,102.33,101.94915581979758,100.90794708090814,101.67663030607117,98.8511916249356,102.45984203338664,105.05692563280424,1970,48.3,78.7550724637681,75.7,69.38964646464648,68.9200575007789,68.39043840943596,66.7083779190288,62.58766763565299,64.44333515260739,67.6830207496749,69.03876246231547,75.0,67.0,67.13080948313403,60.76666666666667,62.57530317788104,56.625,59.631507891797334,56.3,59.036989277227505,56.32000000000001,57.96505892132232,61.63076102263254,60.31928040731678,60.15692735159853,57.07505614005697,55.93506243444286,1970,48.3,78.7550724637681,75.7,69.32285353535354,68.9200575007789,68.39043840943596,66.7083779190288,62.58766763565299,64.44333515260739,67.6830207496749,69.03876246231547,75.0,67.0,67.13080948313403,60.76666666666667,62.57530317788104,56.625,59.631507891797334,56.3,59.036989277227505,56.32000000000001,57.96505892132232,61.63076102263254,60.31928040731678,60.15692735159853,57.07505614005697,55.93506243444286
