fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_idw1_preds,hav_idw1_preds,euc_idw2_preds,hav_idw2_preds,k1_Nearest_pred,k5_Nearest_pred,k5_Weighted_pred,kRad_Mean_pred
01049,1994,37.1,27.540418337367782,24.7,27.34255319148936,41.67503974562798,40.51629879757823,40.24298809267489,38.672496040452536,38.09612275859428,36.3,36.78,36.80378108002226,37.65
01077,1975,26.5,19.11277392590307,20.0,26.102127659574467,28.442607313195552,27.882078600837655,27.6722947793382,26.353784935794337,26.055316537897355,27.0,25.22,25.78472025500918,23.1125
01083,1991,26.5,27.129752417580335,15.7,28.087234042553188,35.05191082802546,33.22553844673137,32.90059805536955,29.885025827836138,29.36057120298743,28.2,27.04,27.605381293217505,25.481818181818177
01089,2003,36.0,31.30165176655032,23.0,27.329787234042552,33.97749196141477,35.715813703269916,35.689299216839714,38.51991766297411,38.44369947792812,39.0,41.0,40.7343426635471,41.22222222222222
05001,1989,28.0,33.88799977777376,32.0,36.65744680851064,32.91799363057321,28.8197460212768,28.631771941549047,23.960732252812996,23.797391646526197,23.0,22.4,22.432625757733454,21.86
05003,1972,16.5,11.687623424932326,20.0,28.970212765957445,28.207777777777768,25.934138104781105,25.792731891463923,22.04710071110478,21.991529320465812,18.0,20.84,20.584477598746584,20.821052631578947
05017,1981,19.0,22.12814433183553,15.0,30.476595744680854,32.245238095238115,28.082568555951884,27.90383754692899,22.37042970080127,22.163482861202844,22.0,19.580000000000002,19.914061173040007,20.843999999999998
05021,1989,23.0,27.291235022870524,27.0,30.397872340425533,32.91799363057321,30.408059539367848,30.29068739372221,26.210259730789996,26.02603874145025,24.0,23.82,23.810141679896088,23.504
05031,2016,48.8,45.79013370397206,52.0,30.768085106382976,53.80460317460318,50.79631712191525,50.583089885181884,46.60784880816695,46.22898995316561,51.0,43.720000000000006,44.64128607545074,43.296875
05035,1993,26.9,29.374343576193155,32.3,29.614893617021274,33.290634920634915,31.33318238520377,31.260242556269922,27.77996061779476,27.79174626232634,28.8,26.660000000000004,26.67392140930526,26.405128205128204
05037,1988,27.0,29.366684588145972,25.0,32.400000000000006,26.80221518987341,26.11009399016546,26.068078935662644,25.690928336164564,25.61522498005209,25.0,25.8,25.992689926377686,25.17222222222222
